material_id,formula,volume,density,crystal_system,nsites,elements,chemsys,band_gap,formation_energy_per_atom
mp-555782,ZnS,781.817768462268,4.140591107212218,Trigonal,40,"S, Zn",S-Zn,1.9917,-0.9618537634062501
mp-556000,ZnS,860.871918989195,4.136395195341013,Trigonal,44,"S, Zn",S-Zn,2.0254,-0.9616068482244311
mp-556005,ZnS,312.560765385015,4.142794692184443,Trigonal,16,"S, Zn",S-Zn,2.0389,-0.9610413801562511
mp-556152,ZnS,703.9167460004576,4.138939648976525,Trigonal,36,"S, Zn",S-Zn,2.0263,-0.9615049577951401
mp-556155,ZnS,781.8216806407379,4.140570387997359,Trigonal,40,"S, Zn",S-Zn,2.0223,-0.96186887865625
mp-556161,ZnS,547.4391265878817,4.139330346759543,Trigonal,28,"S, Zn",S-Zn,1.4296,-0.9616529856919651
mp-556207,ZnS,781.9956571680393,4.139649203780353,Trigonal,40,"S, Zn",S-Zn,2.0276,-0.9616266159062501
mp-556280,ZnS,781.8761387171566,4.140281995133783,Trigonal,40,"S, Zn",S-Zn,2.0238,-0.9618587154062511
mp-556363,ZnS,703.7521789342534,4.139907508367396,Trigonal,36,"S, Zn",S-Zn,2.0282,-0.961806524461806
mp-556392,ZnS,547.9458089811175,4.135502731378398,Trigonal,28,"S, Zn",S-Zn,2.0369,-0.9613172499776781
mp-556395,ZnS,312.41883261585133,4.144676775661342,Trigonal,16,"S, Zn",S-Zn,1.9563000000000001,-0.9616492439062511
mp-556448,ZnS,703.738605527868,4.139987357116019,Trigonal,36,"S, Zn",S-Zn,2.015799999999999,-0.9620950955729181
mp-556485,ZnS,495.3875307001958,3.920794326389074,Trigonal,24,"S, Zn",S-Zn,0.0,-0.7516237509300601
mp-556543,ZnS,860.8162146556264,4.136662865877198,Trigonal,44,"S, Zn",S-Zn,2.0163,-0.9621005752698861
mp-556716,ZnS,547.5421727421269,4.138551334485021,Trigonal,28,"S, Zn",S-Zn,1.213299999999999,-0.961243709977679
mp-556732,ZnS,781.7290596531898,4.141060971932565,Trigonal,40,"S, Zn",S-Zn,2.0239,-0.9618632891562491
