material_id,formula,volume,density,crystal_system,nsites,elements,chemsys,band_gap,formation_energy_per_atom,avg_coordination,avg_bond_length,electronegativity_diff,radii_ratio,avg_atomic_mass,packing_efficiency,symmetry_deviation
mp-936248,Cu9Se8,343.9886154552156,5.8101191944405,Triclinic,17,"Cu, Se",Cu-Se,0.0,-0.028287302205883002,4.235294117647059,2.278312566192474,0.6499999999999999,1.173913043478261,71.253,0.08154209920200553,1
mp-32857,Cu13Se8,375.2905423662246,6.450195371744258,Cubic,21,"Cu, Se",Cu-Se,0.0,-0.104366369642859,4.9523809523809526,2.482884241664228,0.6499999999999999,1.173913043478261,71.253,0.09052524625972602,0
mp-684605,Cu17Se10,475.6864729293306,6.527434113926192,Monoclinic,27,"Cu, Se",Cu-Se,0.0,-0.07142315354166401,5.592592592592593,2.5304735246187655,0.6499999999999999,1.173913043478261,71.253,0.0916092531391828,1
mp-684970,Cu19Se11,522.0660589226177,6.6029374018243825,Triclinic,30,"Cu, Se",Cu-Se,0.0,-0.060742821072915,5.8,2.532329810348544,0.6499999999999999,1.173913043478261,71.253,0.09266890379105978,1
mp-685189,Cu29Se19,884.1777288779734,6.278494468051536,Trigonal,48,"Cu, Se",Cu-Se,0.0,-0.092854481347655,4.833333333333333,2.4759890493507934,0.6499999999999999,1.173913043478261,71.253,0.08811551047747515,1
mp-684606,Cu27Se20,909.8304848526615,6.01362561957591,Trigonal,47,"Cu, Se",Cu-Se,0.0,-0.133801923111701,4.595744680851064,2.4592448149364974,0.6499999999999999,1.173913043478261,71.253,0.08439820947294724,1
mp-684923,Cu25Se26,3122.0703242216696,5.810601660770162,Monoclinic,153,"Cu, Se",Cu-Se,0.0,-0.18084744710375703,3.9607843137254903,2.395367381787378,0.6499999999999999,1.173913043478261,71.253,0.08154887037416196,1
mp-1978391,CuTe,41.475826609632946,7.65278058016099,Tetragonal,2,"Cu, Te",Cu-Te,0.0,0.026828514999998002,6.0,2.6411550000000004,0.20000000000000018,1.037037037037037,95.573,0.08007262072092527,1
mp-1861,Cu2Te,136.73976795623284,6.185852473961427,Hexagonal,6,"Cu, Te",Cu-Te,0.0,0.08165582833333401,6.666666666666667,2.60583397626988,0.20000000000000018,1.037037037037037,95.573,0.06472384955961859,0
mp-1183984,Cu3Te,61.473763563398585,8.596295408717864,Cubic,4,"Cu, Te",Cu-Te,0.0,0.137867280000001,12.0,2.7907114632512595,0.20000000000000018,1.037037037037037,95.573,0.08994481086413386,0
mp-1181516,CuTe,367.2018289079767,1.728778973504881,Orthorhombic,4,"Cu, Te",Cu-Te,0.0,0.72635044,2.0,2.411807796092289,0.20000000000000018,1.037037037037037,95.573,0.018088570762714168,1
mp-1238498,CuTe,82.95163681214551,7.652782093815177,Orthorhombic,4,"Cu, Te",Cu-Te,0.0,0.028214004999998002,6.0,2.7403480488233813,0.20000000000000018,1.037037037037037,95.573,0.08007263655860104,1
mp-20826,CuTe,94.67133081146629,6.705417526165807,Orthorhombic,4,"Cu, Te",Cu-Te,0.0,-0.0842046275,6.0,2.6430672232395156,0.20000000000000018,1.037037037037037,95.573,0.0701601658016993,1
mp-623012,CuTe,82.18235577791044,7.72441717981606,Orthorhombic,4,"Cu, Te",Cu-Te,0.0,0.017019144999999,6.0,2.728510597822268,0.20000000000000018,1.037037037037037,95.573,0.08082216922997144,1
mp-1207193,CuTe2,70.78099504329904,7.477857368333115,Trigonal,3,"Cu, Te",Cu-Te,0.0,0.003043896666665,4.0,2.697771764436842,0.20000000000000018,1.037037037037037,95.573,0.07824236309766477,1
mp-1103235,CuTe2,292.52689775735826,7.237490834248176,Cubic,12,"Cu, Te",Cu-Te,0.0,-0.0033016250000010004,4.666666666666667,2.762619449888523,0.20000000000000018,1.037037037037037,95.573,0.07572735850342854,0
